soc_name,soc_sumlevel,soc_id,avg_age_sex1_2014,avg_age_sex1_2015,avg_age_sex2_2014,avg_age_sex2_2015
"Management occupations",2,110000,45.9703,46.1026,44.245,44.2154
"Management, business, & financial occupations",1,110000-130000,45.3114,45.383,43.6999,43.6869
"Management, business, science, & arts occupations",0,110000-290000,43.9074,43.9687,42.8285,42.7544
"General & operations managers",3,111021,44.7664,44.698,41.9116,42.4024
"Chief executives & legislators",3,1110XX,51.4446,52.0155,50.2302,50.1734
"Advertising & promotions managers",3,112011,40.5071,41.849,36.7144,35.612
"Marketing & sales managers",3,112020,43.5289,44.0255,39.894,39.7608
"Public relations & fundraising managers",3,112031,44.5703,42.8475,42.5309,42.3318
"Administrative services managers",3,113011,49.0843,48.7546,45.1626,47.0359
"Computer & information systems managers",3,113021,44.6145,44.8569,45.3476,45.0993
"Financial managers",3,113031,43.2401,43.7432,43.9652,44.2074
"Industrial production managers",3,113051,46.2942,46.8778,44.302,45.8754
"Purchasing managers",3,113061,47.4913,47.4262,45.4501,45.6917
"Transportation, storage, & distribution managers",3,113071,43.8426,44.8805,43.8756,43.4273
"Compensation & benefits managers",3,113111,50.7708,44.318,46.5083,47.1755
"Human resources managers",3,113121,44.3317,43.6943,44.9936,44.7496
"Training & development managers",3,113131,41.2603,41.8488,43.2499,42.7294
"Farmers, ranchers, & other agricultural managers",3,119013,47.1488,47.848,47.0626,47.1455
"Construction managers",3,119021,45.8683,45.5724,43.9602,43.3574
"Education administrators",3,119030,45.9735,46.5454,46.4219,46.3527
"Architectural & engineering managers",3,119041,47.9431,48.1412,45.8504,45.4196
"Food service managers",3,119051,39.3885,38.9064,37.4449,38.0522
"Gaming managers",3,119071,42.9063,43.4061,46.7092,44.7458
"Lodging managers",3,119081,44.2277,43.4607,40.8731,41.9198
"Medical & health services managers",3,119111,47.5521,47.3438,46.6429,46.7101
"Natural sciences managers",3,119121,43.849,47.192,38.9938,41.3398
"Property, real estate, & community association managers",3,119141,48.4919,48.4386,46.0027,45.8243
"Social & community service managers",3,119151,46.4185,47.2622,45.9136,45.8018
"Emergency management directors",3,119161,41.6699,48.5375,38.568,45.7635
"Miscellaneous managers",3,119XXX,46.4845,46.5098,44.615,44.177
"Business & financial operations occupations",2,130000,43.5041,43.3719,42.8835,42.8768
"Agents & business managers of artists, performers, & athletes",3,131011,38.5326,42.0342,39.5152,37.8844
"Buyers & purchasing agents, farm products",3,131021,43.294,45.1133,48.6507,40.877
"Wholesale & retail buyers, except farm products",3,131022,42.2482,42.3358,43.7593,41.7138
"Purchasing agents, except wholesale, retail, & farm products",3,131023,46.7565,45.3842,46.419,45.9755
"Claims adjusters, appraisers, examiners, & investigators",3,131030,42.4422,43.2198,42.6376,43.569
"Compliance officers",3,131041,47.1498,45.8328,43.9184,43.507
"Cost estimators",3,131051,47.4296,48.2114,42.8503,42.9694
"Human resources workers",3,131070,40.441,40.9192,41.5053,41.0421
"Logisticians",3,131081,41.291,39.2851,40.8792,39.3701
"Management analysts",3,131111,45.2999,44.8807,43.8356,43.4472
"Meeting, convention, & event planners",3,131121,35.2793,37.2813,37.2992,37.3553
"Fundraisers",3,131131,43.6117,41.66,40.7304,39.6773
"Compensation, benefits, & job analysis specialists",3,131141,43.2557,44.9413,44.8465,44.7979
"Training & development specialists",3,131151,43.9438,44.3459,42.7427,43.4169
"Market research analysts & marketing specialists",3,131161,41.0297,40.5485,37.3631,37.3507
"Business operations specialists, all other",3,131199,43.1211,43.5861,42.7046,42.8305
"Accountants & auditors",3,132011,43.5205,43.599,43.7597,44.1
"Appraisers & assessors of real estate",3,132021,49.8297,50.5441,48.7849,47.7472
"Budget analysts",3,132031,43.3347,42.7198,45.0847,45.8481
"Credit analysts",3,132041,39.0176,40.8548,40.6413,42.7218
"Financial analysts",3,132051,37.6882,37.1615,40.8138,40.75
"Personal financial advisors",3,132052,44.2288,44.5389,42.1073,41.8444
"Insurance underwriters",3,132053,41.2935,41.2717,44.4131,44.5029
"Financial examiners",3,132061,44.4514,41.4276,43.1097,45.9885
"Credit counselors & loan officers",3,132070,42.5923,42.3143,43.3766,43.1571
"Tax examiners & collectors, & revenue agents",3,132081,48.6347,47.9043,46.6132,48.4352
"Tax preparers",3,132082,47.7553,47.5188,46.6974,47.5867
"Other financial specialists",3,132099,44.3225,43.5237,42.8113,43.4691
"Computer & mathematical occupations",2,150000,40.5679,40.4326,41.8637,42.3272
"Computer, engineering, & science occupations",1,150000-190000,41.9675,41.825,41.0289,41.1108
"Computer & information research scientists",3,151111,42.48,39.2466,47.066,41.059
"Computer systems analysts",3,151121,41.8467,41.4481,42.0296,43.1254
"Information security analysts",3,151122,40.9376,40.9329,45.5838,46.4616
"Computer programmers",3,151131,42.5247,41.7177,44.2677,44.6981
"Web developers",3,151134,35.4126,35.5341,36.5277,37.5342
"Software developers, applications & systems software",3,15113X,39.7913,39.7113,40.9043,41.3286
"Database administrators",3,151141,42.4292,41.9975,43.5814,43.7286
"Network & computer systems administrators",3,151142,41.1544,41.2709,44.3871,44.2139
"Computer network architects",3,151143,42.5606,42.5145,41.9582,41.3843
"Computer support specialists",3,151150,39.2934,39.6958,41.2525,42.0895
"Other Computer Occupations",3,151199,40.4593,40.4615,43.0381,42.9271
"Actuaries",3,152011,38.9816,38.1788,38.36,38.0484
"Operations research analysts",3,152031,44.4903,45.4595,42.8322,43.2241
"Miscellaneous mathematical science occupations, including mathematicians & statisticians",3,1520XX,40.8304,41.449,39.7964,39.4783
"Architecture & engineering occupations",2,170000,43.7774,43.7196,40.2596,40.0666
"Architects, except naval",3,171010,44.9392,45.7146,40.2495,40.4101
"Surveyors, cartographers, & photogrammetrists",3,171020,40.8398,42.444,44.1619,39.3838
"Aerospace engineers",3,172011,45.5691,44.1348,39.0699,40.376
"Chemical engineers",3,172041,43.4553,43.1406,35.4712,36.7885
"Civil engineers",3,172051,43.6213,43.0822,37.5616,38.6532
"Computer hardware engineers",3,172061,42.5115,43.333,40.1069,41.0966
"Electrical & electronics engineers",3,172070,45.3482,44.615,40.5154,40.7851
"Environmental engineers",3,172081,44.5363,45.2531,39.9397,37.525
"Biomedical & agricultural engineers",3,1720XX,41.9114,42.0472,34.3402,36.4764
"Industrial engineers, including health & safety",3,172110,44.0158,43.8785,41.1424,40.738
"Marine engineers & naval architects",3,172121,43.4501,42.0622,33.8924,37.1589
"Materials engineers",3,172131,43.1703,41.6131,39.5927,39.7856
"Mechanical engineers",3,172141,41.7633,42.5702,40.6636,39.1
"Petroleum, mining & geological engineers, including mining safety engineers",3,1721XX,41.4684,38.8951,33.9619,35.3623
"Miscellaneous engineers, including nuclear engineers",3,1721YY,44.6065,44.5595,40.1004,38.5604
"Drafters",3,173010,42.1893,42.2618,39.9763,42.5906
"Engineering technicians, except drafters",3,173020,43.6257,44.1366,42.5517,42.2695
"Surveying & mapping technicians",3,173031,40.8345,41.6041,42.7132,43.1785
"Life, physical, & social science occupations",2,190000,42.494,42.0726,39.9826,39.5582
"Agricultural & food scientists",3,191010,43.5719,43.8541,39.8041,36.9681
"Biological scientists",3,191020,42.1735,41.3853,40.5139,39.9389
"Conservation scientists & foresters",3,191030,43.8983,43.8686,41.6759,37.2471
"Medical scientists, & life scientists, all other",3,1910XX,42.9843,43.6703,41.023,40.2873
