soc_name,soc_sumlevel,soc_id,avg_wage_2014,avg_wage_2015,gini_2014,gini_2015,num_ppl_2014,num_ppl_2015
"Management occupations",2,110000,87851.9,89842,0.428235,0.43328,13907169,14482769
"Management, business, & financial occupations",1,110000-130000,82469.1,84231.9,0.42609,0.430771,20695927,21415130
"Management, business, science, & arts occupations",0,110000-290000,70827.7,72398.9,0.436476,0.439302,52106585,53417813
"General & operations managers",3,111021,84467.2,85517.3,0.393959,0.389194,820163,893042
"Chief executives & legislators",3,1110XX,153964,162724,0.442882,0.449315,1129730,1154041
"Advertising & promotions managers",3,112011,73508,76569.7,0.400012,0.433845,51962,43016
"Marketing & sales managers",3,112020,96675.2,98249.8,0.417923,0.42965,843208,917775
"Public relations & fundraising managers",3,112031,86040.9,81796.6,0.347928,0.347946,58005,58724
"Administrative services managers",3,113011,71545.3,68414.2,0.325793,0.358356,140634,148039
"Computer & information systems managers",3,113021,106766,109153,0.312131,0.301462,544636,577986
"Financial managers",3,113031,95852.5,100194,0.428909,0.44802,1110767,1159394
"Industrial production managers",3,113051,85102.5,83549.4,0.335196,0.313392,240008,237648
"Purchasing managers",3,113061,82101.9,80989.6,0.315724,0.318537,187147,194471
"Transportation, storage, & distribution managers",3,113071,58310.9,58846.9,0.325594,0.331734,222606,237496
"Compensation & benefits managers",3,113111,101856,83102.3,0.39764,0.321688,15006,18940
"Human resources managers",3,113121,80673.4,82273.5,0.379907,0.374395,370752,394237
"Training & development managers",3,113131,76409.1,75818.2,0.350809,0.380048,58314,64140
"Farmers, ranchers, & other agricultural managers",3,119013,50668.9,52869.4,0.486155,0.486019,255876,258716
"Construction managers",3,119021,77989.2,79336.8,0.338815,0.348968,494048,506818
"Education administrators",3,119030,69362.8,69374.8,0.348159,0.351641,857286,876961
"Architectural & engineering managers",3,119041,143592,145556,0.302351,0.30352,145246,153419
"Food service managers",3,119051,42737.8,41938.2,0.42077,0.403588,889006,915937
"Gaming managers",3,119071,54181.7,53370.8,0.399602,0.330456,16873,18496
"Lodging managers",3,119081,53295.5,53664.2,0.447835,0.416083,110026,128773
"Medical & health services managers",3,119111,82604.1,82878.6,0.37706,0.382872,622761,649847
"Natural sciences managers",3,119121,93228.5,98240.6,0.379724,0.418333,16917,20298
"Property, real estate, & community association managers",3,119141,62354,64552.3,0.46276,0.450693,497392,525894
"Social & community service managers",3,119151,60035.6,59824.3,0.374398,0.37146,341892,355696
"Emergency management directors",3,119161,61116.4,65134.7,0.319571,0.256117,10399,9459
"Miscellaneous managers",3,119XXX,90003.9,92300.6,0.408638,0.410873,3856509,3963506
"Business & financial operations occupations",2,130000,71442.3,72511.5,0.40949,0.412522,6788758,6932361
"Agents & business managers of artists, performers, & athletes",3,131011,63775.2,72415.8,0.490958,0.594351,38306,36268
"Buyers & purchasing agents, farm products",3,131021,65965.7,54763.2,0.480932,0.390154,8782,9350
"Wholesale & retail buyers, except farm products",3,131022,40859.8,40604.6,0.455309,0.426948,196993,201237
"Purchasing agents, except wholesale, retail, & farm products",3,131023,59003,58244.8,0.316544,0.297743,278317,272445
"Claims adjusters, appraisers, examiners, & investigators",3,131030,53547,55831.2,0.268382,0.282528,285236,288332
"Compliance officers",3,131041,75223.6,73674.8,0.369813,0.342428,211446,224356
"Cost estimators",3,131051,63795.2,64470.2,0.321504,0.317189,130301,127013
"Human resources workers",3,131070,62978.6,63473.5,0.374865,0.375215,763938,744662
"Logisticians",3,131081,56284.9,55221.9,0.354657,0.320399,120033,146581
"Management analysts",3,131111,90697.1,91653.7,0.41197,0.421114,684660,713414
"Meeting, convention, & event planners",3,131121,41998.9,42379.5,0.379396,0.414833,116852,126562
"Fundraisers",3,131131,58817.7,57720.6,0.402211,0.413804,92141,91129
"Compensation, benefits, & job analysis specialists",3,131141,52804.3,56601.2,0.291736,0.315892,46519,55959
"Training & development specialists",3,131151,55822.3,58739.4,0.330446,0.342024,126788,152401
"Market research analysts & marketing specialists",3,131161,76918.1,78751.9,0.425013,0.439451,279150,274022
"Business operations specialists, all other",3,131199,66179.4,72812.1,0.392564,0.415367,282393,284496
"Accountants & auditors",3,132011,69145.3,70258.3,0.38596,0.390647,1819292,1851576
"Appraisers & assessors of real estate",3,132021,56632.9,58648.3,0.357868,0.361936,65206,69198
"Budget analysts",3,132031,75586.8,80073,0.262802,0.275793,47201,47282
"Credit analysts",3,132041,66102.1,67118.9,0.343611,0.33758,29222,28268
"Financial analysts",3,132051,103663,106924,0.410177,0.41806,202797,223533
"Personal financial advisors",3,132052,125046,125787,0.484395,0.486556,330356,332094
"Insurance underwriters",3,132053,69009.6,68565.6,0.341295,0.312301,109119,112034
"Financial examiners",3,132061,95736.6,94853.9,0.401849,0.32381,13796,12997
"Credit counselors & loan officers",3,132070,71907.4,71881,0.393193,0.403974,297997,308006
"Tax examiners & collectors, & revenue agents",3,132081,57659.6,54657.6,0.297938,0.300649,56928,61327
